Date,Location,Latitude,Longitude,Temperature (°C),Humidity (%),Wind_Speed (m/s),Solar_Irradiance (W/m²),Cloud_Cover (%),Precipitation (mm),Sunshine_Hours,Month,Season,Solar_Energy_Output (kWh)
2024-01-01,Kolkata,22.5726,88.3639,39.6,62.96898378624145,3.43,895.9,34.38485891610088,2.6,6.2,1,Winter,43.34
2024-01-02,Kolkata,22.5726,88.3639,33.6,27.812008378157064,2.12,710.9,0.0,1.9,7.6,1,Winter,35.13
2024-01-03,Ahmedabad,23.0225,72.5714,30.6,51.39882088421478,4.69,664.3,0.0,1.4,5.5,1,Winter,33.95
2024-01-04,Delhi,28.6139,77.209,32.5,17.909663059112624,3.45,641.1,23.502100851762318,1.1,10.3,1,Winter,35.12
2024-01-05,Kolkata,22.5726,88.3639,24.9,50.9097692135231,2.76,841.7,48.05756656670435,0.2,7.5,1,Winter,43.66
2024-01-06,Bangalore,12.9716,77.5946,33.5,66.89547685875226,2.36,677.0,49.56489469840403,0.6,10.8,1,Winter,34.09
2024-01-07,Bangalore,12.9716,77.5946,25.8,33.670195570507666,4.04,775.7,48.595493934132506,0.4,6.3,1,Winter,37.05
2024-01-08,Bangalore,12.9716,77.5946,28.7,71.89811682097091,3.79,918.0,1.655323232540745,4.0,11.3,1,Winter,47.52
2024-01-09,Kolkata,28.6139,77.209,23.7,53.42899368338302,3.09,760.3,27.94837326498437,0.8,5.5,1,Winter,37.11
2024-01-10,Bangalore,12.9716,77.5946,29.2,24.918096232832482,3.13,818.3,45.01896262809802,2.8,7.6,1,Winter,41.03
2024-01-11,Bangalore,12.9716,77.5946,37.8,32.8366025038392,4.55,634.8,43.972084236999734,3.5,9.5,1,Winter,31.51
2024-01-12,Chennai,13.0827,80.2707,28.4,38.42798403254473,3.11,714.2,19.552095362195978,0.5,5.0,1,Winter,33.91
2024-01-13,Jaipur,26.9124,75.7873,26.2,53.04706761755263,2.42,605.2,14.471813778054603,0.3,6.7,1,Winter,28.64
2024-01-14,Hyderabad,17.385,78.4867,27.2,19.241477708669265,1.49,718.8,26.104402549360398,4.0,10.7,1,Winter,36.33
2024-01-15,Chennai,13.0827,80.2707,35.1,42.250519542631906,5.1,1038.1,35.55962268565656,1.8,12.0,1,Winter,54.11
2024-01-16,Bangalore,12.9716,77.5946,32.8,36.265828651236276,3.66,835.2,33.59361716290907,1.5,7.3,1,Winter,43.34
2024-01-17,Delhi,28.6139,77.209,27.4,67.60835457148838,2.76,760.3,15.690178288269271,0.7,7.5,1,Winter,37.83
2024-01-18,Chennai,13.0827,80.2707,28.0,49.44263826075466,3.86,801.9,18.76374019621154,4.8,9.5,1,Winter,40.91
2024-01-19,Kolkata,22.5726,88.3639,40.4,42.44687477076252,3.86,687.0,29.90471055525456,1.3,5.0,1,Winter,35.84
2024-01-20,Chennai,13.0827,80.2707,27.6,26.360536824753208,4.93,667.6,35.02459011914587,0.2,4.4,1,Winter,32.44
2024-01-21,Bangalore,12.9716,77.5946,29.2,55.51542896456574,3.3,927.2,36.08336359084312,2.0,12.0,1,Winter,48.63
2024-01-22,Bangalore,12.9716,77.5946,22.8,60.89903061234281,3.06,821.9,37.767203166334724,0.5,11.0,1,Winter,40.34
2024-01-23,Chennai,13.0827,80.2707,26.7,43.32951378855663,2.39,789.7,26.7710721750731,0.7,8.6,1,Winter,40.29
2024-01-24,Hyderabad,17.385,78.4867,35.2,46.85597545586801,2.97,932.5,32.563024119216074,0.4,9.2,1,Winter,46.12
2024-01-25,Bangalore,12.9716,77.5946,31.7,37.92809920563428,3.07,637.0,51.313873133500934,1.0,8.3,1,Winter,31.55
2024-01-26,Bangalore,12.9716,77.5946,26.3,55.75711595961235,4.4,808.6,21.617010269801604,1.4,11.5,1,Winter,39.38
2024-01-27,Jaipur,26.9124,75.7873,28.4,47.311005574267476,3.52,829.8,17.861938803388323,3.2,7.9,1,Winter,42.39
2024-01-28,Pune,18.5204,73.8567,24.1,56.1116501533636,4.68,656.3,45.84592343937374,4.6,10.4,1,Winter,32.83
2024-01-29,Jaipur,26.9124,75.7873,35.9,76.59469331453249,3.6,707.7,57.88035095104385,4.4,6.9,1,Winter,34.01
2024-01-30,Chennai,13.0827,80.2707,33.9,51.880672677458854,3.39,733.3,0.0,0.5,3.3,1,Winter,37.25
2024-01-31,Hyderabad,17.385,78.4867,28.2,61.3792076806701,4.85,889.1,47.82457954664345,0.9,8.7,1,Winter,44.53
2024-02-01,Ahmedabad,23.0225,72.5714,31.6,52.304441791576046,3.24,558.0,20.10857741041564,3.6,8.0,2,Winter,29.4
2024-02-02,Hyderabad,17.385,78.4867,26.1,50.05139352996695,5.25,1059.0,48.6611410621232,1.1,10.8,2,Winter,53.48
2024-02-03,Hyderabad,17.385,78.4867,24.8,51.85279287917376,3.53,741.1,29.48017702248188,0.3,8.5,2,Winter,37.4
2024-02-04,Bangalore,12.9716,77.5946,28.5,48.52034313658607,5.16,870.8,37.83460175401671,0.8,8.0,2,Winter,41.72
2024-02-05,Pune,18.5204,73.8567,27.3,30.564925581752025,3.35,935.0,17.988945219310263,2.3,7.7,2,Winter,47.69
2024-02-06,Bangalore,12.9716,77.5946,26.1,18.684983559587966,4.7,601.5,31.680669545202733,1.6,9.1,2,Winter,30.95
2024-02-07,Kolkata,22.5726,88.3639,24.3,57.01137216890797,3.7,988.1,39.758989750205835,2.8,7.0,2,Winter,48.99
2024-02-08,Chennai,13.0827,80.2707,33.4,51.501276731524634,2.88,800.6,13.972333743697732,1.5,5.1,2,Winter,40.17
2024-02-09,Jaipur,26.9124,75.7873,21.4,42.89871716428923,4.12,756.0,3.1427765950140056,0.5,6.8,2,Winter,39.28
2024-02-10,Delhi,28.6139,77.209,32.7,33.897614418952784,5.68,619.2,27.472846882488664,1.3,4.7,2,Winter,29.73
2024-02-11,Bangalore,12.9716,77.5946,29.0,53.58146411106968,2.7,718.7,10.35217860851994,4.0,7.0,2,Winter,37.7
2024-02-12,Kolkata,22.5726,88.3639,28.5,48.734058545693955,3.47,1175.7,24.703790599933527,4.8,6.8,2,Winter,57.96
2024-02-13,Chennai,13.0827,80.2707,27.0,74.9168652613995,4.62,847.6,43.096474986543086,0.8,9.9,2,Winter,41.94
2024-02-14,Ahmedabad,23.0225,72.5714,30.6,51.789089606276846,3.13,701.9,47.77526510549012,1.7,8.1,2,Winter,35.04
2024-02-15,Ahmedabad,23.0225,72.5714,25.2,85.24657563597484,4.25,895.0,33.485146500842575,3.2,8.7,2,Winter,43.72
2024-02-16,Pune,18.5204,73.8567,36.0,36.603208553463325,4.34,812.5,26.198700161933647,1.2,9.5,2,Winter,42.01
2024-02-17,Hyderabad,17.385,78.4867,31.0,86.80632080507684,4.69,631.3,34.08485716102036,2.3,9.8,2,Winter,30.71
2024-02-18,Hyderabad,17.385,78.4867,27.4,22.783077405871783,2.77,679.6,31.57956362229682,3.5,12.0,2,Winter,34.93
2024-02-19,Bangalore,12.9716,77.5946,31.8,31.654504874990852,2.9,770.7,39.961823540989776,1.3,8.1,2,Winter,37.8
2024-02-20,Jaipur,26.9124,75.7873,29.0,78.05856206178231,3.7,916.1,37.25759294637726,2.0,7.5,2,Winter,46.67
2024-02-21,Kolkata,22.5726,88.3639,40.3,57.982459854933495,4.46,972.5,31.791793415686268,2.9,9.1,2,Winter,47.95
2024-02-22,Pune,18.5204,73.8567,26.1,42.516139607925055,2.18,739.8,8.165568992151258,1.2,9.4,2,Winter,37.81
2024-02-23,Hyderabad,17.385,78.4867,29.6,57.08093890833034,3.39,922.3,22.713383090173863,1.6,9.7,2,Winter,45.85
2024-02-24,Pune,18.5204,73.8567,33.2,32.65922467830676,4.4,680.2,17.324730710074952,1.4,6.2,2,Winter,34.53
2024-02-25,Kolkata,22.5726,88.3639,35.3,72.66791574637124,3.72,853.9,23.686812202768206,2.6,11.4,2,Winter,42.32
